"time","tiempoPromedioPedido","tiempoMaximoPedido","cantidadPedidos","longitudColaArmado","longitudColaCoccion","pedidosTerminados"
46,16.57065359655217,22.78122892596709,9,0,0,7
46.1,16.57065359655217,22.78122892596709,9,0,0,7
46.2,16.57065359655217,22.78122892596709,9,0,0,7
46.3,16.57065359655217,22.78122892596709,9,0,0,7
46.4,16.57065359655217,22.78122892596709,9,0,0,7
46.5,16.57065359655217,22.78122892596709,9,0,0,7
46.6,16.57065359655217,22.78122892596709,9,0,0,7
46.7,16.57065359655217,22.78122892596709,9,0,0,7
46.8,16.57065359655217,22.78122892596709,9,0,0,7
46.9,16.57065359655217,22.78122892596709,9,0,0,7
47,16.57065359655217,22.78122892596709,9,0,0,7
47.1,16.57065359655217,22.78122892596709,9,0,0,7
47.2,16.57065359655217,22.78122892596709,9,0,0,7
47.3,16.57065359655217,22.78122892596709,9,0,0,7
47.4,16.57065359655217,22.78122892596709,9,0,0,7
47.5,16.57065359655217,22.78122892596709,9,0,0,7
47.6,16.57065359655217,22.78122892596709,9,0,0,7
47.7,16.57065359655217,22.78122892596709,9,0,0,7
47.8,16.57065359655217,22.78122892596709,9,0,0,7
47.9,16.57065359655217,22.78122892596709,9,0,0,7
48,16.57065359655217,22.78122892596709,9,0,0,7
48.1,16.57065359655217,22.78122892596709,9,0,0,7
48.13965399561201,16.57065359655217,22.78122892596709,9,0,0,7
48.13965399561201,17.21480484154273,22.78122892596709,9,0,0,8
48.2,17.21480484154273,22.78122892596709,9,0,0,8
48.3,17.21480484154273,22.78122892596709,9,0,0,8
48.4,17.21480484154273,22.78122892596709,9,0,0,8
48.5,17.21480484154273,22.78122892596709,9,0,0,8
48.6,17.21480484154273,22.78122892596709,9,0,0,8
48.7,17.21480484154273,22.78122892596709,9,0,0,8
48.8,17.21480484154273,22.78122892596709,9,0,0,8
48.9,17.21480484154273,22.78122892596709,9,0,0,8
49,17.21480484154273,22.78122892596709,9,0,0,8
49.1,17.21480484154273,22.78122892596709,9,0,0,8
49.2,17.21480484154273,22.78122892596709,9,0,0,8
49.3,17.21480484154273,22.78122892596709,9,0,0,8
49.36651510161551,17.21480484154273,22.78122892596709,9,0,0,8
49.36651510161551,17.21480484154273,22.78122892596709,10,0,0,8
49.4,17.21480484154273,22.78122892596709,10,0,0,8
49.5,17.21480484154273,22.78122892596709,10,0,0,8
49.6,17.21480484154273,22.78122892596709,10,0,0,8
49.7,17.21480484154273,22.78122892596709,10,0,0,8
